,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
109,720,6,695.0,19.0,1859.60018596002,0.833333333333333
110,0,0,0.0,0.0,,
111,66214,2207,0.0,64007.0,2109.66673038935,3.33313196604948
112,3,0,3.0,0.0,19.9973336888415,0.0
113,223,9,189.0,25.0,358.100621457132,4.03587443946188
114,71,1,70.0,0.0,234.811654595363,1.40845070422535
115,257,2,240.0,15.0,391.052951917225,0.778210116731518
116,1046,48,816.0,182.0,613.493334271755,4.58891013384321
117,1194402,45783,0.0,1148619.0,2133.72944698913,3.83313155872144
118,15,0,13.0,2.0,430.663221360896,0.0
119,907,1,768.0,138.0,2692.1136208483,0.110253583241455
120,363,25,329.0,9.0,426.89810894722,6.8870523415978
121,13,1,12.0,0.0,260.05201040208,7.69230769230769
122,47162,869,0.0,46293.0,2506.48384353741,1.84258513209788
123,3,0,2.0,0.0,,
124,82011,3286,0.0,78725.0,1501.12569326231,4.00677957834925
125,720,6,695.0,19.0,1859.60018596002,0.833333333333333
126,0,0,0.0,0.0,,
127,67106,2209,0.0,64897.0,2138.08704517938,3.29180699192323
128,3,0,3.0,0.0,19.9973336888415,0.0
129,223,9,189.0,25.0,358.100621457132,4.03587443946188
130,71,1,70.0,0.0,234.811654595363,1.40845070422535
131,257,2,241.0,14.0,391.052951917225,0.778210116731518
132,1046,48,818.0,180.0,613.493334271755,4.58891013384321
133,1211951,46301,0.0,1165650.0,2165.0797110252,3.82036897531336
134,15,0,13.0,2.0,430.663221360896,0.0
135,915,2,775.0,138.0,2715.85883470363,0.218579234972678
136,364,25,332.0,7.0,428.074136795559,6.86813186813187
137,13,1,12.0,0.0,260.05201040208,7.69230769230769
138,47711,878,0.0,46833.0,2535.66113945578,1.84024648403932
139,3,0,2.0,0.0,,
140,83259,3323,0.0,79936.0,1523.96902970732,3.99116011482242
141,720,6,695.0,19.0,1859.60018596002,0.833333333333333
142,0,0,0.0,0.0,,
143,67811,2243,0.0,65568.0,2160.54928949213,3.30772293580688
144,3,0,3.0,0.0,19.9973336888415,0.0
145,224,9,196.0,19.0,359.706453840348,4.01785714285714
146,71,1,70.0,0.0,234.811654595363,1.40845070422535
147,258,2,243.0,13.0,392.574558734023,0.775193798449612
148,1068,48,852.0,168.0,626.396635757395,4.49438202247191
149,1229140,46724,0.0,1182416.0,2195.78685607712,3.80135704639016
150,16,0,13.0,3.0,459.374102784956,0.0
151,926,2,790.0,134.0,2748.50850375471,0.215982721382289
152,364,25,332.0,7.0,428.074136795559,6.86813186813187
153,13,1,12.0,0.0,260.05201040208,7.69230769230769
154,48229,889,0.0,47340.0,2563.19090136054,1.84328930726326
155,3,0,3.0,0.0,,
156,84523,3377,0.0,81146.0,1547.10522944008,3.99536220910285
157,720,6,695.0,19.0,1859.60018596002,0.833333333333333
158,0,0,0.0,0.0,,
159,68449,2284,0.0,66165.0,2180.87682406168,3.33679089541118
160,3,0,3.0,0.0,19.9973336888415,0.0
161,226,9,200.0,17.0,362.91811860678,3.98230088495575
162,71,1,70.0,0.0,234.811654595363,1.40845070422535
